topic,candidate,n
EP-1455163-A2,EP-1071075,2
EP-1455163-A2,EP-1197951,2
EP-1459736-A1,WO-1998052530,2
EP-1459736-A1,WO-1999047114,1
EP-1462092-A1,EP-0695162,2
EP-1462092-A1,EP-1028701,1
EP-1462092-A1,EP-1292263,1
EP-1462092-A1,WO-1999008650,1
EP-1462092-A1,WO-2001097755,1
EP-1462310-A2,EP-0686102,2
EP-1462310-A2,EP-0861753,2
EP-1462310-A2,EP-1054422,1
EP-1462320-A2,EP-0838377,1
EP-1462320-A2,EP-1172263,1
EP-1462320-A2,EP-1219502,2
EP-1462320-A2,EP-1219503,1
EP-1462320-A2,EP-1219508,1
EP-1462320-A2,EP-1272378,2
EP-1462320-A2,EP-1334011,1
EP-1462320-A2,WO-2001079034,2
EP-1462320-A2,WO-2002038422,1
EP-1462495-A1,EP-0626276,2
EP-1462495-A1,EP-0819737,2
EP-1462495-A1,EP-0914393,2
EP-1462495-A1,EP-0964036,2
EP-1462495-A1,EP-1002663,2
EP-1462495-A1,EP-1029898,1
EP-1462495-A1,EP-1146097,2
EP-1462495-A1,WO-1998004641,2
EP-1464539-A2,EP-0459187,1
EP-1464539-A2,EP-0679553,2
EP-1464539-A2,EP-1092880,1
EP-1465463-A1,EP-0574439,2
EP-1465463-A1,WO-1992016086,2
EP-1465463-A1,WO-2001081166,2
EP-1468622-A1,EP-1208022,2
EP-1468622-A1,WO-2000035719,2
EP-1468622-A1,WO-2001015942,2
EP-1470825-A1,EP-0429611,1
EP-1470825-A1,EP-0828703,1
EP-1470825-A1,EP-1005356,2
EP-1470825-A1,WO-1996037457,1
EP-1470825-A1,WO-1999063929,2
EP-1470825-A1,WO-1999063937,2
EP-1470825-A1,WO-1999063940,2
EP-1470825-A1,WO-1999063988,2
EP-1470825-A1,WO-1999064033,2
EP-1470825-A1,WO-1999064037,2
EP-1470825-A1,WO-1999064047,2
EP-1470825-A1,WO-1999064048,2
EP-1470825-A1,WO-1999064049,2
EP-1470825-A1,WO-1999064051,2
EP-1470825-A1,WO-1999064054,2
EP-1471127-A1,EP-0437916,1
EP-1471127-A1,EP-1157073,2
EP-1471127-A1,EP-1272283,2
EP-1471127-A1,WO-2000047684,2
EP-1471127-A1,WO-2001070894,2
EP-1473152-A1,EP-0723501,1
EP-1473152-A1,EP-0888218,1
EP-1473152-A1,EP-0888239,1
EP-1473152-A1,EP-0888240,1
EP-1473152-A1,EP-1023501,1
EP-1473152-A1,WO-1995010420,1
EP-1473152-A1,WO-1995027598,2
EP-1473152-A1,WO-1997035721,1
EP-1473152-A1,WO-1997035794,1
EP-1473152-A1,WO-1997035795,1
EP-1473152-A1,WO-1999014433,1
EP-1473152-A1,WO-2001087218,1
EP-1473684-A1,EP-1169873,2
EP-1473684-A1,WO-2001024551,2
EP-1473684-A1,WO-2001073622,2
EP-1475100-A1,EP-0597101,1
EP-1475100-A1,EP-0628639,1
EP-1475100-A1,EP-0852951,1
EP-1475100-A1,EP-0865793,1
EP-1475100-A1,EP-0907378,1
EP-1475100-A1,EP-0911037,1
EP-1475100-A1,EP-0941121,1
EP-1475100-A1,EP-0960936,1
EP-1475100-A1,EP-0967995,1
EP-1475100-A1,EP-0999853,1
EP-1475100-A1,EP-1174148,2
EP-1475100-A1,EP-1314437,1
EP-1475100-A1,EP-1516628,1
EP-1475100-A1,WO-1997004801,1
EP-1475100-A1,WO-1997045140,1
EP-1475100-A1,WO-1998022136,1
EP-1475100-A1,WO-1998042376,1
EP-1475100-A1,WO-1998056418,1
EP-1475142-A1,EP-0662341,2
EP-1475142-A1,WO-2002045827,2
EP-1475593-A2,EP-0487829,1
EP-1475593-A2,EP-0624443,2
EP-1475593-A2,EP-0626244,2
EP-1477812-A2,EP-0359249,1
EP-1477812-A2,WO-2001019520,2
EP-1478177-A1,EP-0863506,1
EP-1478177-A1,EP-1081697,2
EP-1478177-A1,EP-1156486,2
EP-1479285-A1,EP-0434781,2
EP-1479285-A1,EP-0826300,1
EP-1482464-A1,EP-0345878,2
EP-1482464-A1,EP-0838792,2
EP-1482464-A1,EP-1271442,1
EP-1486836-A1,EP-0377330,2
EP-1486836-A1,EP-0545994,1
EP-1486836-A1,EP-0680232,2
EP-1486836-A1,EP-0772107,2
EP-1486836-A1,WO-1991014324,2
EP-1486836-A1,WO-1992003881,1
EP-1488780-A1,EP-1244421,2
EP-1488780-A1,WO-2001047484,2
EP-1488780-A1,WO-2002046165,2
EP-1488782-A1,EP-0375977,1
EP-1488782-A1,WO-2002046165,2
EP-1493425-A1,EP-0515768,2
EP-1493425-A1,EP-0723772,2
EP-1493425-A1,EP-0727202,2
EP-1493425-A1,WO-2001021148,2
EP-1496205-A1,EP-0258754,1
EP-1496205-A1,EP-0919698,2
EP-1496205-A1,EP-0974733,2
EP-1496205-A1,EP-0990771,1
EP-1496205-A1,EP-1164250,1
EP-1505261-A1,EP-0492865,1
EP-1505261-A1,EP-0541325,2
EP-1505261-A1,EP-0892153,2
EP-1510304-A1,EP-0325326,1
EP-1510304-A1,EP-0440980,1
EP-1510304-A1,WO-1998025734,1
EP-1512569-A1,EP-1040023,1
EP-1512569-A1,EP-1118489,2
EP-1512569-A1,WO-2000017001,1
EP-1514492-A1,EP-1044625,1
EP-1514492-A1,EP-1086904,2
EP-1514492-A1,EP-1205125,2
EP-1514492-A1,EP-1205126,2
EP-1514761-A1,EP-0534577,1
EP-1514761-A1,EP-0613259,1
EP-1514761-A1,EP-0650429,1
EP-1514761-A1,EP-1094962,1
EP-1514761-A1,EP-1216180,1
EP-1514761-A1,WO-1994026571,1
EP-1514761-A1,WO-2000002758,1
EP-1514761-A1,WO-2001023238,1
EP-1518540-A1,EP-0039806,1
EP-1518540-A1,WO-2001041717,2
EP-1519633-A1,EP-0184069,2
EP-1519633-A1,EP-0196214,2
EP-1519633-A1,EP-0463208,1
EP-1519633-A1,EP-0737024,2
EP-1522642-A1,EP-0399320,1
EP-1522642-A1,EP-0583791,2
EP-1522642-A1,EP-0819102,2
EP-1522642-A1,EP-1157974,1
EP-1522642-A1,EP-1182177,2
EP-1522642-A1,WO-1997029057,2
EP-1522861-A1,EP-1014092,2
EP-1522861-A1,WO-2001010689,2
EP-1525830-A2,EP-0276098,2
EP-1525830-A2,EP-0567110,1
EP-1525830-A2,EP-0882420,1
EP-1528175-A1,EP-1215346,2
EP-1528175-A1,WO-1999055978,1
EP-1529797-A1,EP-0035835,1
EP-1529797-A1,EP-0144948,1
EP-1529797-A1,EP-0156464,1
EP-1529797-A1,EP-0283164,1
EP-1529797-A1,EP-0296620,1
EP-1529797-A1,EP-0321473,1
EP-1529797-A1,EP-0349960,1
EP-1529797-A1,EP-0379190,1
EP-1529797-A1,EP-0407870,1
EP-1529797-A1,EP-0422035,1
EP-1529797-A1,EP-0455632,1
EP-1529797-A1,EP-0485893,1
EP-1529797-A1,EP-0503422,1
EP-1529797-A1,EP-0724947,1
EP-1529797-A1,EP-0849075,1
EP-1529797-A1,EP-0976548,1
EP-1529797-A1,EP-1007440,1
EP-1529797-A1,EP-1068949,1
EP-1529797-A1,EP-1176005,2
EP-1529797-A1,EP-1197326,1
EP-1529797-A1,EP-1197327,1
EP-1529797-A1,EP-1197328,1
EP-1529797-A1,EP-1215227,1
EP-1529797-A1,EP-1261481,1
EP-1529797-A1,EP-1274575,1
EP-1529797-A1,EP-1274576,1
EP-1529797-A1,EP-1322468,2
EP-1529797-A1,WO-1994013476,1
EP-1529797-A1,WO-1994013481,1
EP-1529797-A1,WO-1996019333,1
EP-1529797-A1,WO-1998040287,1
EP-1529797-A1,WO-2001053087,1
EP-1529797-A1,WO-2001053089,1
EP-1529797-A1,WO-2001053090,1
EP-1529797-A1,WO-2002026493,2
EP-1531112-A1,EP-0527665,1
EP-1531112-A1,EP-0736414,2
EP-1531112-A1,EP-1017036,1
EP-1531112-A1,EP-1049051,2
EP-1531112-A1,EP-1087360,2
EP-1533001-A1,EP-0515319,1
EP-1533001-A1,EP-0565909,2
EP-1533001-A1,EP-0655260,1
EP-1533001-A1,EP-1142608,1
EP-1533499-A1,EP-0924416,2
EP-1533499-A1,EP-0953755,1
EP-1533499-A1,EP-1117915,2
EP-1533499-A1,WO-2000020743,2
EP-1533600-A1,EP-0453344,1
EP-1533600-A1,EP-0871014,1
EP-1533600-A1,EP-0929795,1
EP-1533600-A1,EP-1017966,1
EP-1533600-A1,EP-1017967,2
EP-1533600-A1,EP-1102995,1
EP-1533600-A1,EP-1167927,1
EP-1533600-A1,EP-1202035,1
EP-1533600-A1,WO-1998014756,1
EP-1533600-A1,WO-1999017081,1
EP-1533600-A1,WO-1999017082,2
EP-1533600-A1,WO-2000062020,1
EP-1533600-A1,WO-2000075673,1
EP-1533600-A1,WO-2001001096,1
EP-1536246-A1,EP-0199447,2
EP-1536246-A1,EP-0335132,2
EP-1536246-A1,EP-0800054,1
EP-1536246-A1,EP-0970390,2
EP-1536246-A1,EP-1004844,1
EP-1536246-A1,WO-1998043111,2
EP-1536246-A1,WO-2001088564,1
EP-1541533-A1,EP-0579657,2
EP-1543817-A1,EP-1343457,2
EP-1543817-A1,WO-2001097773,2
EP-1543817-A1,WO-2002047608,2
EP-1544447-A2,EP-0365714,2
EP-1544447-A2,EP-1064456,1
EP-1544447-A2,EP-1228304,1
EP-1544447-A2,EP-1348072,2
EP-1544447-A2,WO-2000031398,1
EP-1544447-A2,WO-2001031184,1
EP-1544447-A2,WO-2001040638,2
EP-1544447-A2,WO-2002048532,2
EP-1545107-A1,EP-1349357,2
EP-1545107-A1,WO-2000026816,2
EP-1548398-A1,EP-0447713,2
EP-1548398-A1,EP-0486713,1
EP-1548398-A1,EP-0759147,1
EP-1548398-A1,EP-0890078,2
EP-1548398-A1,EP-1144945,2
EP-1548398-A1,WO-1995030877,1
EP-1548398-A1,WO-1997036145,2
EP-1548398-A1,WO-1998014751,1
EP-1548398-A1,WO-2000037885,2
EP-1548594-A1,EP-0414729,1
EP-1548594-A1,EP-0420425,1
EP-1548594-A1,EP-0672985,1
EP-1548594-A1,EP-0695443,1
EP-1548594-A1,EP-0786111,1
EP-1548594-A1,EP-0881560,1
EP-1548594-A1,EP-0902370,2
EP-1548594-A1,EP-0981091,1
EP-1548594-A1,EP-1065585,1
EP-1548594-A1,EP-1071993,1
EP-1548594-A1,EP-1170657,1
EP-1548594-A1,EP-1209427,1
EP-1548594-A1,WO-1994025919,1
EP-1548594-A1,WO-1996012232,1
EP-1548594-A1,WO-1996042019,1
EP-1548594-A1,WO-2000049500,1
EP-1548594-A1,WO-2001040952,1
EP-1548594-A1,WO-2001067247,1
EP-1548594-A1,WO-2002031696,1
EP-1548833-A1,EP-1017100,2
EP-1548833-A1,EP-1144198,2
EP-1548833-A1,WO-2000038234,2
EP-1548833-A1,WO-2000041892,2
EP-1549085-A2,EP-0969678,2
EP-1549085-A2,WO-2000042786,1
EP-1555707-A1,WO-2000045447,1
EP-1555768-A1,EP-0572171,1
EP-1555768-A1,EP-1009124,2
EP-1555768-A1,EP-1223702,2
EP-1564434-A1,EP-0544633,2
EP-1564434-A1,EP-0702165,2
EP-1564434-A1,EP-0878574,2
EP-1566776-A1,EP-0609156,1
EP-1566776-A1,EP-1297501,2
EP-1566776-A1,WO-2001099064,2
EP-1568711-A1,EP-0391416,2
EP-1568711-A1,EP-1261629,2
EP-1568711-A1,WO-2001066566,2
EP-1578175-A1,EP-0961330,1
EP-1578175-A1,EP-1162674,1
EP-1578175-A1,WO-1999048160,2
EP-1580586-A1,EP-1027624,2
EP-1580586-A1,EP-1207414,2
EP-1580586-A1,EP-1207415,2
EP-1580586-A1,EP-1244927,2
EP-1580586-A1,WO-1999022262,2
EP-1580586-A1,WO-2001044854,2
EP-1580704-A2,EP-1093643,1
EP-1580704-A2,WO-1996038813,2
EP-1580704-A2,WO-2000041145,1
EP-1582171-A1,EP-0801929,2
EP-1582171-A1,WO-1998037819,2
EP-1582568-A1,EP-0407952,2
EP-1582568-A1,EP-1129145,2
EP-1582568-A1,WO-2000011091,2
EP-1583051-A1,EP-0456548,2
EP-1583051-A1,WO-1997005551,1
EP-1584385-A1,EP-0610706,2
EP-1584385-A1,EP-1250968,2
EP-1586240-A1,EP-0943242,2
EP-1586240-A1,EP-1008309,2
EP-1586240-A1,EP-1056345,2
EP-1586240-A1,EP-1181867,2
EP-1586240-A1,WO-1999043213,2
EP-1587044-A2,EP-0651119,2
EP-1587044-A2,EP-0671528,2
EP-1587044-A2,EP-0808972,2
EP-1587044-A2,EP-0813644,2
EP-1587044-A2,EP-1145197,2
EP-1587044-A2,EP-1182621,2
EP-1587044-A2,WO-1997025502,2
EP-1587044-A2,WO-1999060530,2
EP-1587044-A2,WO-2002031778,2
EP-1587214-A2,EP-0204897,2
EP-1587214-A2,EP-0531945,1
EP-1587214-A2,EP-1289149,1
EP-1588792-A2,EP-0966337,1
EP-1588792-A2,EP-1157771,2
EP-1588792-A2,WO-1998041352,1
EP-1595596-A1,EP-1147808,2
EP-1595596-A1,WO-2000053307,2
EP-1601015-A1,EP-0508717,2
EP-1601015-A1,EP-0565053,2
EP-1601015-A1,EP-0811262,2
EP-1601015-A1,EP-0962048,1
EP-1601015-A1,EP-0975089,2
EP-1601015-A1,EP-1113496,2
EP-1601015-A1,WO-1996026560,2
EP-1601015-A1,WO-1998037627,1
EP-1604688-A1,EP-0969862,2
EP-1604688-A1,EP-1083232,1
EP-1604688-A1,EP-1301614,2
EP-1604688-A1,EP-1541690,1
EP-1604688-A1,WO-1997048370,2
EP-1604688-A1,WO-1998034640,2
EP-1604688-A1,WO-1999014346,1
EP-1604688-A1,WO-1999020766,1
EP-1604688-A1,WO-1999020774,1
EP-1604688-A1,WO-2001004313,1
EP-1604688-A1,WO-2002008435,2
EP-1605134-A2,EP-0474560,2
EP-1605134-A2,EP-1149249,1
EP-1605134-A2,EP-1213483,1
EP-1605134-A2,WO-2001038753,1
EP-1605158-A2,EP-1045136,2
EP-1605158-A2,EP-1120554,2
EP-1605158-A2,EP-1313940,1
EP-1605158-A2,WO-2002018775,1
EP-1607542-A1,EP-0681633,2
EP-1607542-A1,EP-1160390,2
EP-1607542-A1,EP-1203851,1
EP-1607542-A1,WO-1995015423,2
EP-1609796-A1,EP-0285178,1
EP-1609796-A1,EP-0576519,1
EP-1609796-A1,EP-0714284,1
EP-1609796-A1,EP-1186688,2
EP-1609796-A1,WO-1992017212,1
EP-1609796-A1,WO-1995005155,1
EP-1610122-A1,EP-0635719,2
EP-1610122-A1,EP-0852721,1
EP-1610122-A1,WO-1997013144,1
EP-1612155-A1,EP-0539501,2
EP-1612155-A1,EP-0673845,1
EP-1612155-A1,WO-1992001607,2
EP-1616963-A2,EP-1096011,2
EP-1616963-A2,WO-2000003009,1
EP-1616963-A2,WO-2000058478,2
EP-1621843-A1,EP-0983476,2
EP-1621843-A1,WO-1998028587,2
EP-1621843-A1,WO-1998053266,2
EP-1621954-A1,EP-0125991,2
EP-1621954-A1,EP-0246968,1
EP-1621954-A1,EP-0509969,1
EP-1621954-A1,EP-1205956,2
EP-1621954-A1,EP-1215556,2
EP-1634580-A1,EP-0080976,1
EP-1634580-A1,EP-0210041,2
EP-1634580-A1,EP-0250093,2
EP-1634580-A1,EP-0412704,1
EP-1634580-A1,EP-0412707,1
EP-1634580-A1,EP-0412771,2
EP-1634580-A1,EP-0511092,2
EP-1634580-A1,EP-0582152,2
EP-1634580-A1,EP-0619111,2
EP-1634580-A1,EP-0637600,2
EP-1634580-A1,EP-0639969,2
EP-1634580-A1,EP-0648485,2
EP-1634580-A1,EP-0656021,2
EP-1634580-A1,EP-0705297,2
EP-1634580-A1,EP-0751162,2
EP-1634580-A1,EP-0814764,2
EP-1634580-A1,EP-0878184,1
EP-1634580-A1,EP-0993337,2
EP-1634580-A1,EP-1132076,2
EP-1634580-A1,WO-1993023009,2
EP-1634580-A1,WO-1993023446,2
EP-1634580-A1,WO-1995000578,2
EP-1634580-A1,WO-1997025021,2
EP-1634580-A1,WO-1999000187,2
EP-1635280-A1,EP-0965857,1
EP-1635280-A1,EP-1016877,2
EP-1635280-A1,EP-1018692,2
EP-1635485-A1,EP-0863627,2
EP-1635485-A1,EP-1121605,1
EP-1635485-A1,WO-2000023817,1
EP-1637942-A1,EP-0369242,1
EP-1637942-A1,EP-0509959,1
EP-1637942-A1,EP-1286233,2
EP-1638353-A1,EP-1148748,2
EP-1638353-A1,WO-1998030051,2
EP-1640828-A1,EP-0664027,2
EP-1640828-A1,EP-1131686,2
EP-1640828-A1,WO-1995000903,2
EP-1640828-A1,WO-2000029917,2
EP-1641178-A1,EP-0443103,2
EP-1641178-A1,EP-0604167,1
EP-1642826-A1,EP-0597624,2
EP-1642826-A1,WO-1983001237,2
EP-1645472-A1,EP-0771683,1
EP-1645472-A1,EP-1296853,2
EP-1645472-A1,WO-2002002373,2
EP-1647694-A1,EP-0719929,1
EP-1647694-A1,EP-0802315,1
EP-1647694-A1,EP-0892163,1
EP-1647694-A1,EP-1049861,1
EP-1647694-A1,EP-1143131,2
EP-1647694-A1,WO-1999036689,1
EP-1655829-A2,EP-0167158,1
EP-1655829-A2,EP-0662266,1
EP-1655829-A2,EP-0685927,1
EP-1655829-A2,EP-0848489,1
EP-1655829-A2,EP-0935336,2
EP-1655829-A2,EP-0974483,1
EP-1655829-A2,WO-1994007301,1
EP-1655829-A2,WO-2000008747,2
EP-1669824-A1,EP-0424664,1
EP-1669824-A1,EP-0800671,2
EP-1669824-A1,EP-1193949,1
EP-1669824-A1,EP-1220094,1
EP-1669824-A1,WO-1996021178,2
EP-1679163-A1,EP-0446702,2
EP-1679163-A1,EP-0641632,2
EP-1679163-A1,EP-0886565,2
EP-1679163-A1,EP-1068053,1
EP-1679163-A1,WO-1997030829,2
EP-1679163-A1,WO-1999051405,1
EP-1681040-A1,EP-0440618,2
EP-1681040-A1,WO-2001047451,1
EP-1688682-A1,EP-0178416,1
EP-1688682-A1,EP-0985895,1
EP-1688682-A1,EP-1026454,2
EP-1688682-A1,EP-1342804,1
EP-1688682-A1,WO-2001044727,1
EP-1690466-A1,EP-0740912,2
EP-1690466-A1,WO-1996034546,1
EP-1690938-A1,EP-0895546,2
EP-1690938-A1,WO-1998031840,2
EP-1690938-A1,WO-2002004620,1
EP-1698958-A1,EP-0407060,1
EP-1698958-A1,EP-1305708,2
EP-1698958-A1,WO-1998029813,1
EP-1698958-A1,WO-2002093365,2
EP-1701438-A2,EP-0401919,2
EP-1701438-A2,EP-0913945,1
EP-1701438-A2,EP-0998022,2
EP-1703105-A1,EP-1086304,1
EP-1703105-A1,EP-1174598,2
EP-1703105-A1,WO-2000060228,1
EP-1703690-A1,EP-0977457,2
EP-1703690-A1,EP-1256039,1
EP-1703690-A1,WO-2001023974,1
EP-1705165-A1,EP-0964837,2
EP-1705165-A1,EP-1015397,2
EP-1705165-A1,EP-1255706,1
EP-1705165-A1,WO-1998031645,2
EP-1705165-A1,WO-1998039266,2
EP-1705165-A1,WO-2001034532,2
EP-1705165-A1,WO-2001058822,1
EP-1705295-A2,EP-0536247,2
EP-1712216-A1,EP-0596920,1
EP-1712216-A1,EP-0609653,1
EP-1712216-A1,EP-0814726,2
EP-1712216-A1,WO-1992008419,1
EP-1712216-A1,WO-1993002631,1
EP-1712216-A1,WO-1996029024,2
EP-1717429-A1,EP-0730706,2
EP-1717429-A1,WO-1995014853,2
EP-1717438-A1,EP-0987430,2
EP-1717438-A1,WO-2000017944,2
EP-1717497-A1,EP-0676548,1
EP-1717497-A1,EP-0979938,1
EP-1717497-A1,EP-1343991,2
EP-1717497-A1,WO-2002044600,2
EP-1719420-A1,EP-0643635,2
EP-1719420-A1,EP-0728525,1
EP-1721502-A1,EP-0170605,1
EP-1721502-A1,EP-0330920,1
EP-1721502-A1,EP-0384132,1
EP-1721502-A1,EP-0489674,1
EP-1721502-A1,EP-0611264,1
EP-1721502-A1,EP-0820689,2
EP-1721502-A1,EP-0981939,1
EP-1721502-A1,EP-1208733,1
EP-1729051-A1,EP-1269064,2
EP-1729051-A1,WO-1980001711,1
EP-1729051-A1,WO-2001073335,2
EP-1738849-A1,EP-0934788,2
EP-1738849-A1,EP-1239984,1
EP-1738849-A1,WO-2001045883,1
EP-1738982-A1,EP-0803420,2
EP-1738982-A1,EP-1080001,2
EP-1738982-A1,WO-1999062748,2
EP-1741940-A1,EP-1266137,1
EP-1741940-A1,EP-1266148,2
EP-1741940-A1,WO-2001069081,1
EP-1741940-A1,WO-2001071206,2
EP-1746769-A1,EP-0948165,2
EP-1746769-A1,EP-1093312,2
EP-1746769-A1,EP-1130850,2
EP-1746769-A1,EP-1672835,2
EP-1746769-A1,EP-1672836,2
EP-1749515-A1,EP-0605951,2
EP-1749515-A1,EP-1125573,2
EP-1752786-A1,EP-0835455,2
EP-1752786-A1,WO-1995034850,1
EP-1752786-A1,WO-1997002495,2
EP-1755002-A2,EP-0102450,2
EP-1755002-A2,EP-0215453,2
EP-1755002-A2,EP-0233567,1
EP-1755002-A2,EP-0255486,2
EP-1755002-A2,EP-0279210,2
EP-1755002-A2,EP-0297442,1
EP-1755002-A2,EP-0297443,1
EP-1755002-A2,EP-0318893,2
EP-1755002-A2,EP-0331413,2
EP-1755002-A2,EP-0334338,2
EP-1755002-A2,EP-0370693,1
EP-1755002-A2,EP-0390214,1
EP-1755002-A2,EP-0393348,2
EP-1755002-A2,EP-0415392,2
EP-1755002-A2,EP-0520364,2
EP-1755002-A2,EP-0770494,2
EP-1755002-A2,EP-1061418,2
EP-1755002-A2,EP-1091253,2
EP-1759983-A1,EP-0455688,2
EP-1759983-A1,EP-0963184,2
EP-1759983-A1,EP-1235710,2
EP-1759983-A1,WO-1990008692,2
EP-1759983-A1,WO-1997048355,2
EP-1759983-A1,WO-2001040050,2
EP-1777244-A1,EP-0865893,2
EP-1777244-A1,WO-2000047387,1
EP-1777269-A1,EP-0850893,2
EP-1777269-A1,WO-1997033922,2
EP-1777269-A1,WO-1997038054,2
EP-1780178-A2,EP-0495019,2
EP-1780178-A2,WO-1998034880,2
EP-1780232-A1,EP-0686662,1
EP-1780232-A1,EP-0825219,2
EP-1780232-A1,EP-1081548,2
EP-1780232-A1,WO-2002000759,2
EP-1784071-A1,EP-0264243,2
EP-1784071-A1,EP-1202833,2
EP-1784071-A1,WO-2001007195,2
EP-1785850-A2,EP-0528631,2
EP-1785850-A2,EP-0694879,2
EP-1785850-A2,EP-0972273,2
EP-1785850-A2,WO-1998045815,2
EP-1788013-A1,EP-1144491,2
EP-1788013-A1,EP-1182225,2
EP-1788013-A1,WO-2000037546,2
EP-1790258-A1,EP-0681442,2
EP-1790258-A1,EP-0734214,2
EP-1790258-A1,EP-1059907,2
EP-1790258-A1,WO-1995002980,2
EP-1790258-A1,WO-1996011618,2
EP-1790258-A1,WO-1999044558,2
EP-1791174-A2,EP-0955671,1
EP-1791174-A2,EP-1087041,1
EP-1791174-A2,EP-1156531,2
EP-1793016-A1,EP-0505606,2
EP-1793016-A1,WO-1993008317,2
EP-1793016-A1,WO-2001006555,1
EP-1795072-A2,EP-0095242,2
EP-1795072-A2,EP-0287787,1
EP-1795072-A2,EP-0328466,2
EP-1795072-A2,EP-0351195,1
EP-1795072-A2,EP-0453899,1
EP-1795179-A1,EP-1233744,2
EP-1795179-A1,EP-1242038,2
EP-1795179-A1,WO-2001034104,2
EP-1795179-A1,WO-2001047475,2
EP-1795225-A1,EP-0484483,2
EP-1795225-A1,EP-0732124,2
EP-1795225-A1,EP-1172126,1
EP-1795225-A1,EP-1177815,1
EP-1795225-A1,WO-1996025978,2
EP-1796373-A1,EP-1128661,2
EP-1796373-A1,WO-2002011426,2
EP-1801534-A1,EP-0506536,2
EP-1801534-A1,EP-0525442,1
EP-1801534-A1,EP-0642026,2
EP-1801534-A1,EP-0834717,2
EP-1803656-A1,EP-1068065,2
EP-1803656-A1,WO-1999050050,2
EP-1813222-A1,EP-1359857,2
EP-1813222-A1,EP-1359858,2
EP-1813222-A1,EP-1359859,2
EP-1813222-A1,WO-2002064048,2
EP-1813222-A1,WO-2002064049,2
EP-1813222-A1,WO-2002065939,2
EP-1814361-A1,EP-0959645,1
EP-1814361-A1,EP-1006754,2
EP-1814361-A1,EP-1030535,1
EP-1814361-A1,WO-1996027271,2
EP-1815991-A2,EP-0600743,2
EP-1815991-A2,EP-0695638,2
EP-1815991-A2,EP-1031422,2
EP-1815991-A2,EP-1083048,2
EP-1818315-A1,EP-0048148,1
EP-1818315-A1,EP-0048675,2
EP-1818315-A1,EP-0249172,2
EP-1818315-A1,EP-0998430,2
EP-1818315-A1,WO-1999038812,2
EP-1827019-A1,EP-1067720,2
EP-1827019-A1,EP-1301037,2
EP-1827019-A1,EP-1371205,2
EP-1827019-A1,WO-2001003341,2
EP-1827019-A1,WO-2002062054,2
EP-1827019-A1,WO-2002063850,2
EP-1827019-A1,WO-2002069567,2
EP-1827019-A1,WO-2002096024,2
EP-1832717-A1,EP-0606475,2
EP-1832717-A1,EP-0719907,2
EP-1832717-A1,EP-0723625,2
EP-1832717-A1,WO-1995010692,2
EP-1840058-A1,EP-0972733,2
EP-1857516-A1,EP-1124680,2
EP-1857516-A1,EP-1194495,2
EP-1857516-A1,WO-2000020201,2
EP-1857516-A1,WO-2000078883,2
EP-1865348-A2,EP-1111414,1
EP-1865348-A2,EP-1202087,2
EP-1865348-A2,EP-1219986,1
EP-1870899-A2,EP-0898279,2
EP-1870899-A2,EP-1052644,2
EP-1870899-A2,EP-1198132,2
EP-1870899-A2,EP-1286544,2
EP-1880757-A1,EP-0339251,2
EP-1880757-A1,EP-1097745,2
EP-1880757-A1,EP-1166864,2
EP-1880757-A1,WO-2002002219,2
EP-1882871-A1,EP-0273874,1
EP-1882871-A1,EP-0449270,1
EP-1882871-A1,EP-0877877,2
EP-1882871-A1,WO-1997029305,2
EP-1887142-A1,EP-0568456,1
EP-1887142-A1,WO-2001007718,2
EP-1887381-A1,EP-0125061,2
EP-1887381-A1,WO-2001088550,1
EP-1889971-A1,EP-0560753,2
EP-1890127-A2,EP-0849582,1
EP-1890127-A2,WO-2000038838,2
EP-1890127-A2,WO-2001042796,2
EP-1892353-A1,EP-0863317,1
EP-1892353-A1,EP-1392936,2
EP-1892353-A1,WO-2002046546,2
EP-1901326-A1,EP-0492038,1
EP-1901326-A1,EP-0735559,2
EP-1901326-A1,EP-0859393,1
EP-1901586-A1,EP-0184140,2
EP-1901586-A1,EP-0340726,2
EP-1911561-A1,EP-0385175,1
EP-1911561-A1,EP-0569859,2
EP-1911561-A1,EP-0614743,1
EP-1912385-A1,EP-1163810,1
EP-1912385-A1,EP-1168730,1
EP-1912385-A1,EP-1176766,2
EP-1912385-A1,WO-2001017291,1
EP-1912385-A1,WO-2001050792,1
EP-1918011-A1,EP-0774099,1
EP-1918011-A1,EP-1069286,2
EP-1918011-A1,WO-1996004509,1
EP-1918103-A1,EP-0265803,1
EP-1918103-A1,EP-0425913,2
EP-1918103-A1,EP-0812683,1
EP-1918103-A1,EP-1157834,1
EP-1923452-A1,EP-0616634,2
EP-1923452-A1,WO-1993012204,2
EP-1923598-A1,EP-0262296,1
EP-1923598-A1,EP-0331951,2
EP-1925488-A2,EP-0907545,2
EP-1925488-A2,WO-1997049599,2
EP-1932653-A1,EP-0414214,1
EP-1932653-A1,EP-0662391,2
EP-1932653-A1,EP-1027206,1
EP-1932653-A1,EP-1125728,1
EP-1932653-A1,WO-1999021697,1
EP-1935664-A1,EP-0372837,1
EP-1935664-A1,WO-1983002081,2
